fecha,estacion_mm,imerg_mm,cmorph_mm,estacion_anomalia_mm,estacion_climatologia_mm,imerg_anomalia_mm,imerg_climatologia_mm,cmorph_anomalia_mm,cmorph_climatologia_mm
2015-01,33.1,45.54999886194,14.96,-31.0375,64.1375,-26.870499410177004,72.420498272117,-18.701499505999998,33.661499506
2015-02,29.6,31.27999940909,0.0,-14.222222222222221,43.82222222222222,-31.147499291229995,62.427498700319994,-34.627499519000004,34.627499519000004
2015-03,49.6,68.53499844486,25.07,-33.87777777777777,83.47777777777777,-32.22899922797801,100.763997672838,-50.08149902900001,75.15149902900001
2015-04,65.9,100.53999746724,86.77499868000001,-24.366666666666674,90.26666666666668,-5.403000000165989,105.94299746740599,-13.437499813499997,100.21249849350001
2015-05,123.0,139.13499738198,111.33499851,11.144444444444446,111.85555555555555,24.777499933024018,114.357497448956,13.71800010150001,97.6169984085
2015-06,168.2,259.27999488991003,235.529995755,72.8111111111111,95.38888888888889,145.10699749173403,114.172997398176,117.2509978483,118.27899790669998
2015-07,76.1,92.73999764633,79.454998923,-18.777777777777786,94.87777777777778,-35.703499262763,128.443496909093,-40.0274990944,119.4824980174
2015-08,73.6,62.01999863579,36.354999505,-0.4100000000000108,74.01,-33.23549910850299,95.255497744293,-47.6219989364,83.9769984414
2015-09,119.0,119.07999747487,107.379998485,41.28999999999999,77.71000000000001,44.73499937762199,74.34499809724801,38.4399996442,68.9399988408
2015-10,31.8,28.22999935318,25.18999951,-48.14,79.94,-53.14549881381701,81.375498166997,-45.965999219000004,71.155998729
2015-11,121.5,147.02499694388,119.54499877,54.8,66.7,69.56749855857801,77.457498385302,49.98649979950001,69.5584989705
2015-12,174.0,225.00999463904,218.379997485,111.41111111111113,62.58888888888888,144.382996577102,80.626998061938,150.7639983625,67.6159991225
2016-01,27.2,30.73999919623,26.484999885,-36.9375,64.1375,-41.680499075887,72.420498272117,-7.176499620999998,33.661499506
2016-02,25.5,32.2199993264,3.0,-18.322222222222223,43.82222222222222,-30.207499373919994,62.427498700319994,-31.627499519000004,34.627499519000004
2016-03,101.1,129.6849968819,57.9399988,17.62222222222222,83.47777777777777,28.92099920906199,100.763997672838,-17.21150022900001,75.15149902900001
2016-04,83.0,91.8799973671,75.17999845,-7.26666666666668,90.26666666666668,-14.063000100305985,105.94299746740599,-25.032500043500008,100.21249849350001
