fuente,ranking,periodo_dias,frecuencia_ciclos_dia,potencia
Estacion CRNS,1,365.25,0.0027378507871321013,10.639003740813072
Estacion CRNS,2,98.71621621621621,0.010130047912388775,10.133654193383315
Estacion CRNS,3,1826.25,0.0005475701574264203,9.78599006441463
Estacion CRNS,4,173.92857142857144,0.005749486652977412,7.570470305922595
Estacion CRNS,5,913.125,0.0010951403148528405,5.644482422994209
IMERG,1,365.25,0.0027378507871321013,17.894395508998038
IMERG,2,98.71621621621621,0.010130047912388775,10.73767405594796
IMERG,3,84.94186046511628,0.011772758384668035,7.514859243164875
IMERG,4,166.02272727272725,0.006023271731690623,6.400211955379944
IMERG,5,66.4090909090909,0.015058179329226557,5.761982515395383
CMORPH,1,365.25,0.0027378507871321013,32.64570393909464
CMORPH,2,101.45833333333334,0.009856262833675564,10.011029321669286
CMORPH,3,166.02272727272725,0.006023271731690623,7.400644333294047
CMORPH,4,84.94186046511628,0.011772758384668035,6.785980960568413
CMORPH,5,182.625,0.0054757015742642025,5.841015688532345
