fecha,estacion_mm,imerg_mm,cmorph_mm
2015-05-31,16.4,10.129999738,2.6799999999999997
2015-06-01,0.0,0.0,0.0
2015-06-02,0.0,0.0,0.0
2015-06-03,0.0,0.0,0.0
2015-06-04,0.0,0.0,0.0
2015-06-05,0.0,0.0,0.0
2015-06-06,0.0,0.0,0.0
2015-06-07,0.0,0.47499999400000004,0.37
2015-06-08,35.4,53.464999232000004,59.86999885
2015-06-09,0.0,0.0,0.0
2015-06-10,0.0,0.0,0.0
2015-06-11,0.0,4.464999890550001,21.4999999
2015-06-12,8.3,7.4849998764,3.93499987
2015-06-13,30.2,47.929998968499994,23.35999927
2015-06-14,0.3,3.25999993585,1.03999995
2015-06-15,0.0,0.3550000059,0.07
2015-06-16,9.1,5.52999979424,1.78499999
2015-06-17,0.5,1.8199999468999999,5.11499988
2015-06-18,3.6,4.6699999948399995,1.17
2015-06-19,5.7,1.10999996915,1.4799999499999998
2015-06-20,0.0,0.0,0.0
2015-06-21,8.5,20.22499993989,32.90999945
2015-06-22,0.0,0.0,0.0
2015-06-23,0.0,2.51500001055,7.6499999
2015-06-24,2.3,12.39999947315,12.3299999
2015-06-25,30.4,66.21999861435,41.02999915
2015-06-26,25.8,17.56499944165,16.55499975
2015-06-27,0.0,0.0,0.0
2015-06-28,0.0,0.14499999954,1.175
2015-06-29,7.9,8.3049998278,4.1849999449999995
2015-06-30,0.2,1.33999997465,0.0
2015-07-01,0.0,0.11999999715000001,0.0
2015-07-02,0.0,0.2449999975,0.0
2015-07-03,0.0,0.4849999845,0.0
2015-07-04,0.0,0.0,0.0
2015-07-05,0.0,0.0,0.0
2015-07-06,0.0,0.0,0.0
2015-07-07,19.7,9.57999972185,7.8799999849999995
2015-07-08,13.5,25.15999953429,10.274999785
2015-07-09,17.9,8.12499985554,3.384999975
2015-07-10,0.7,3.7349999183900002,0.524999965
2015-07-11,3.2,3.83999983432,9.709999645
2015-07-12,1.3,9.204999708999999,17.914999945
2015-07-13,0.0,0.0,0.0
2015-07-14,0.0,0.01999999955,0.08
2015-07-15,0.0,0.60499996,0.0
2015-07-16,0.8,1.3349999727000001,0.229999995
2015-07-17,0.0,1.224999943,8.079999975
2015-07-18,0.0,0.0249999985,0.0
2015-07-19,1.1,18.089999435,10.539999875
2015-07-20,0.0,0.0,0.0
2015-07-21,1.1,0.0,0.07
2015-07-22,0.0,0.0,0.0
2015-07-23,0.0,0.01499999965,0.0
2015-07-24,0.0,0.0,0.0
2015-07-25,0.0,0.0249999985,0.835
2015-07-26,0.0,0.02999999935,0.44
2015-07-27,0.0,0.0,0.0
2015-07-28,0.4,6.85499978,7.0249998
2015-07-29,16.4,4.01500000765,2.464999978
2015-07-30,0.0,0.00499999989,0.0
2015-07-31,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0
2015-08-02,0.0,1.4899999438,0.0
2015-08-03,0.0,0.0,0.0
2015-08-04,0.0,0.0,0.0
2015-08-05,0.0,0.0099999998,0.0
2015-08-06,3.1,16.48499965844,8.14999991
2015-08-07,0.0,0.0,0.0
2015-08-08,0.0,0.02999999935,0.114999995
2015-08-09,17.3,18.41999956589,9.379999965
2015-08-10,0.0,0.0,0.0
2015-08-11,0.0,0.0,0.0
2015-08-12,0.0,0.0,0.0
2015-08-13,0.0,0.0,0.0
2015-08-14,0.0,0.7549999743,0.0
