fuente,n_dias_validos,dias_lluvia,media_mm,varianza_mm2,desviacion_estandar_mm,asimetria,curtosis,minimo_mm,maximo_mm,total_mm
Estación CRNS,3314,1108,2.6364514182257093,49.778755408595934,7.055406112237334,4.1186612689067,21.59588809700477,0.0,75.1,8737.2
IMERG,3653,1789,3.0319996559668327,59.384955128255484,7.706163450657888,4.039285956275245,20.311325313739356,0.0,76.4149980155,11075.89474324684
CMORPH,3653,1022,2.5739911989715303,55.98342471527849,7.482207208790631,5.091333044542811,38.94669669095464,0.0,117.0299975,9402.789849843
