hora_local,estacion_mm_promedio,imerg_mm_promedio,cmorph_mm_promedio,estacion_mm_acumulado,imerg_mm_acumulado,cmorph_mm_acumulado,estacion_porcentaje_diario,imerg_porcentaje_diario,cmorph_porcentaje_diario
0,0.12023557837511327,0.14704899723176018,0.11311554171939477,398.1,537.16998688762,411.17499415,4.556379618184315,4.849901514413917,4.372904220090226
1,0.10386590154032016,0.14860525279038872,0.12220677114399779,343.90000000000003,542.85498844329,443.854992795,3.9360435837568097,4.90122921016632,4.720460627995542
2,0.11981873111782478,0.16224539863925339,0.1188136043539823,396.6,591.0599872428,429.629993344,4.539211646751819,5.336453631461054,4.5691757468255405
3,0.12722054380664652,0.14360525245208047,0.12174050431150248,421.1,524.58998720745,442.404992668,4.819621846815913,4.73632152858171,4.705039671554362
4,0.11187311178247734,0.13310703220785655,0.1154704246698762,370.3,486.2399886553,419.734993675,4.238199880968731,4.390074119761464,4.4639410257797945
5,0.12776435045317222,0.13047905561693404,0.10521613233562777,422.90000000000003,476.63999016866,382.144992643,4.8402234125349075,4.303399420252485,4.064166048009471
6,0.11800604229607252,0.13800163936979742,0.11655940455583058,390.6,504.11998861787,423.809994965,4.470539761021837,4.55150577270735,4.507279240874201
7,0.11060743427017226,0.12685874316478513,0.10256946235075654,366.0,463.41498878096,372.839995645,4.188985029528911,4.183995961712366,3.9652060888208127
8,0.08256797583081571,0.12318641929881194,0.09501513329113924,273.3,449.99998969856,345.28499438,3.1280043950006866,4.062877086954375,3.672154752940323
9,0.10694864048338369,0.11664932657583083,0.09294416803767877,354.0,426.11998998151,337.944994985,4.051641258068946,3.847273740492365,3.5940928211922416
10,0.11130250831066787,0.12617300547713112,0.10436691249876134,368.3,460.90998900796,379.164993108,4.21530925239207,4.161379280793406,4.032473331458439
11,0.09447129909365559,0.11920339169587736,0.09894743936818931,312.7,435.44998986504,359.574994664,3.5789497779609025,3.93151072630535,3.8241309271631105
12,0.11957703927492447,0.10475225619779906,0.10839702854000549,395.8,382.65999189056,394.2399928,4.530055395321155,3.4548901083036583,4.192798085416985
13,0.10954394442766535,0.11748015040058855,0.12125859526685007,362.7,429.15498941335,440.774993795,4.15121549237742,3.8746755847875223,4.6877044029901365
14,0.09205678042887346,0.11979879262234602,0.11890354214482,304.8,437.62498944943,432.689989865,3.4885317950830927,3.951147962256117,4.601719242637595
15,0.07876774388402295,0.09418423008759376,0.10104836358669964,260.8,344.05499250998,367.714995092,2.984937966396557,3.106340394935191,3.910700983050682
16,0.09287224403503473,0.09654256593676705,0.07989560296538462,307.5,352.66999336701,290.819994794,3.519434143661585,3.184121929129372,3.09291177871912
17,0.12135306553911206,0.10057623617208596,0.08094557297553602,401.8,367.40499073663,294.479994485,4.598727281051137,3.317158561484552,3.1318363931096154
18,0.09628623188405797,0.11743224445336983,0.10490776259085903,318.9,428.97998898816,381.02499373,3.6499107265485504,3.873095573156438,4.0522547011551255
19,0.12067089755213056,0.10794962795403504,0.1139575859774167,399.3,394.33999091609,413.77999468400003,4.570113995330312,3.560344333865449,4.400608769225115
20,0.11160471441523119,0.12609361853877088,0.11190390835159691,369.3,460.61998852213003,406.434995133,4.226754566680401,4.158760977779946,4.322493660110741
21,0.1312783318223028,0.1409512695558883,0.10052928023178444,434.4,514.89498768766,365.624992203,4.971844526850707,4.648789101229045,3.8884735067125304
22,0.11985494106980962,0.14023405121635915,0.12330447736795823,396.6,512.27498909336,448.704993142,4.539211646751819,4.625134140117236,4.772041067678355
23,0.11106074342701723,0.15128524120324666,0.11525034198019257,367.5,552.64498611546,418.934993098,4.206153000961406,4.989619339353301,4.4554329064899285
