anio,estacion_mm,imerg_mm,cmorph_mm
2015,1065.4,1318.42497114811,1059.974985623
2016,948.1,1068.67497415148,875.694984226
2017,870.1,1021.67497791238,773.349987218
2018,257.4,1256.61497279696,1044.96498386
2019,1040.4,1142.64497240638,1143.579978214
2020,945.0,1114.10997377468,962.9599869
2021,961.0,1180.52497332069,1040.629983857
2022,777.6,919.76997826061,718.1249876749999
2023,832.0,926.90997728804,833.394986515
2024,1040.2,1126.54497218751,950.114985755
