fuente,n_dias_validos,l1_media_l_mm,l2_escala_l_mm,l3_asimetria_l_mm,t_l_cv,t3_l_asimetria
Estación CRNS,3314,2.636451418225709,2.2988422558050705,1.7495779745677473,0.8719456159568287,0.7610691730368567
IMERG,3653,3.0319996559668327,2.59343049738741,1.9083514119622977,0.8553531634753523,0.7358405840776329
CMORPH,3653,2.5739911989715303,2.2810173330978287,1.7900569605782337,0.8861791501110171,0.7847625419606846
