fecha,estacion_mm,imerg_mm,cmorph_mm
2022-01,15.100000000000001,18.54999947285,12.41499975
2022-02,83.0,88.50499804724,9.649999399999999
2022-03,113.5,107.17499743674,97.1049981
2022-04,67.0,72.71999795533999,74.649999385
2022-05,92.0,94.92999801548,74.829998465
2022-06,26.8,64.80499852839,58.18499831
2022-07,61.199999999999996,111.16999758948,100.32499763999999
2022-08,92.1,115.16499691367,116.93499880499999
2022-09,65.0,68.81999807814,45.58999936
2022-10,55.800000000000004,60.559998749070004,39.62999902
2022-11,47.800000000000004,51.22999908204,51.879999760000004
2022-12,58.3,66.13999839217,36.92999968
2023-01,46.1,79.94499810354,42.25999927
2023-02,66.9,86.2899980469,68.279999235
2023-03,74.5,116.64499648166,73.869999175
2023-04,46.4,41.5249990299,45.60499968
2023-05,53.2,71.18999765308,50.424999415
2023-06,54.7,62.35999851524,86.62999746
2023-07,87.8,106.14999803482,99.669998565
2023-08,92.7,117.69999727461,133.824998055
2023-09,117.7,51.7499986762,49.77999926
2023-10,93.9,87.19999808165,87.9449978
2023-11,14.5,19.019999725850003,17.1199999
2023-12,83.60000000000001,87.13499766459,77.9849987
2024-01,121.10000000000001,122.46499705088,77.49999789
2024-02,15.5,18.12499941445,7.05999995
2024-03,55.0,73.66999860125,38.039999545
2024-04,132.8,163.09499688858,143.92499784
2024-05,152.5,90.69499783435,109.56999842
2024-06,41.0,77.55499795899,61.324999215
2024-07,158.7,187.7099944673,181.784997305
2024-08,88.0,80.73999804089,81.39999869
2024-09,44.199999999999996,62.13999802784,46.439999245
2024-10,12.8,26.844999404950002,15.129999920000001
2024-11,155.3,150.88999625672,113.314998485
2024-12,63.3,72.61499824131,74.62499925
